premise,hypothesis,label
This man claims that he has been robbed en route and is stranded without money or his plane ticket in an airport somewhere in Europe or the Middle East.,He claimed he was robbed on the way and has no money or a plane ticket,0
"It was planned in the 1820s as a symbol of Scottish national pride and designed as a mini-Parthenon, in deference to the neoclassical style popular at the time.",It was designed to be a smaller version of the Parthenon.,0
"Although claims data provide the most accurate information about health care use, ensuring adequate follow-up for purposes of obtaining information from patient self-report is important because many people do not report alcohol-related events to insurance compa-nies.",Alcohol related events that contribute to disease are often unreported by patients to their insurance companies.,0
The researchers found expected stresses like the loss of a check in the mail and the illness of loved ones.,The stresses affected people as the researchers expected.,0
Ca'daan closed the door behind them and retied the not.,"Ca'daan closed the door as they entered, and bound it shut with rope.",0
Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,A main train line went between all the small towns.,0
"In other words, the paper exhibited the all-too-typical journalistic tic of exposing potential conflicts of interest involving politicians while ignoring those involving journalists.","The paper shows, the journalists exposing potential conflicts of interests around politicians, but never exposing other journalists.",0
The final reason for the teen renaissance is boomer self-obsession.,Boomer self-obsession is one of the reasons for teen renaissance.,0
"After the death of Columbus in 1505, Jamaica became the property of his son Diego, who dispatched Don Juan de Esquivel to the island as Governor.","Jamaica was inherited by Columbus' son, Diego.",0
"120 ""You do not think I ought to go to the police?""",Should I not go to the police?,0
We have taken a number of steps to empower and invest in our employees.,The steps we have taken put programs for the employees in place.,0
What have we for lunch?,What are we going to eat for lunch?,0
I am so constituted as to be unable to give away money with any satisfaction until I have made the most careful inquiry as to the worthiness of the cause.,I have to research a cause carefully before donating money to it.,0
"The Chinese calendar was used to calculate the year of Japan's foundation by counting back the 1,260 years of the Chinese cosmological cycle.",Japan's foundation was determined by using the Chinese calendar.,0
"Look here, you've no business to come asking for me in this way.",There's no reason for you to be asking for me like this.,0
"Regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and, therefore, lack of precision, which could make enforcement of reporting standards difficult.",Difficulty of reporting standards can be a huge obstacle for this business model.,0
"First, get the basics right, that is, the blocking and tackling of financial reporting.",The basics need to be right first.,0
"In a still faintly Victorian atmosphere, Dinard has preserved all the best assets of a good luxury villas and long, paved promenades, plush hotels, elegant boutiques, discothyques, casino, parks and gardens, and an Olympic-size public swimming pool.",Dinard maintains a Victorian sensibility while also including luxury elements.,0
Very simply.,Not complicatedly.,0
yeah they were my favorite team for a while,They had been my favorite team.,0
The Leland Act (1) simplify the household definition,The household definition can be simplified.,0
The data would be presented as required supplementary stewardship information accompanying the consolidated financial statements of the Federal Government but not in individual reports of its component units.,Individual reports that focus on its component units wouldn't include the data.,0
"But is the Internet so miraculous an advertising vehicle that Gross will be able to siphon off $400 per person from total ad spending of $1,000 per family--or persuade advertisers to spend an additional $400 to reach each of his customers?","Was the internet so great at advertising that Gross would pay $400 per person per ad, totalling spending $1000 per family or persuade adversisers to shell out an extra $400 to reach each customer?",0
The questions may need to be tailored to,There are some questions that may or may not need to be tailored to.,0
It was still night.,"The sun hadn't risen yet, for the moon was shining daringly in the sky.",0
you know we keep a couple hundred dollars um if that much charged on those which isn't too bad it's just your normal,We have some money on there,0
Two aromatic aniseed drinks are also produced locally.,The aniseed drinks have a good smell to them.,0
"Sandstone and granite were the materials used to build the Baroque church of Bom Jesus, famous for its casket of St. Francis Xavier's relics in the mausoleum to the right of the altar.",The Baroque chuch of Bom Jesus is a famous church made of sandstone and granite.,0
"Don't take it to heart, lad, he said kindly.",He was trying to console the lad.,0
"Summary of Deferred Maintenance as of September 30, 199Z (in Millions of Dollars):","Deferred Maintenance in Millions of Dollars, as of September 30, 199Z:",0
uh wasn't that Jane Eyre no he wrote Jane Eyre too,Was it Jane Eyre or not?,0
"There is nothing more to be done here, I think, unless, he stared earnestly and long at the dead ashes in the grate.",There isn't anything left to do.,0
"In short, this is a whole new costing area that would need to be undertaken.","In a nutshell, this new costing area would need to be undertaken.",0
You'll find galleries in all the major towns and in some of the smaller villages.,Smaller villages also operate galleries that can be found.,0
"No one was there, no bones at all.",Nothing was left from the body.,0
"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414.",The administrator shall reduce allowance for each unit.,0
"As a result, their services may be more effective when conducted in the emergency department environment.",Their services might be more effective if they're done in the ED.,0
"Previously, at the request of the Republican Ranking Minority Member of the House Committee on Government Operations, GAO reviewed activities of President Clintonas Task Force on Health Care Reform and was provided with an extensive listing of working group participants drawn from the government and from outside organizations.",The GAO have reviewed the activities of President Clinton's Task Force.,0
Among the disadvantages are that the degree of innovation and product differentiation might continue to be limited.,Limited innovation is not going to be an advantage.,0
"I ordered Better Sexual Techniques , Advanced Sexual Techniques , Making Sex Fun , and Advanced Oral Sex Techniques (priced about $11.",The orders I made were not being offered for free.,0
Benchmarked by U.S.,Benchmark in America.,0
Tommy felt his ascendancy less sure than a moment before.,Tommy was getting less certain about his ascendancy.,0
I never said you were a mandrake-man.,I never once said or implied you were a mandrake.,0
down here it's been it's everybody's got colds and everything because it's cold one day and hot the next day,The colds are directly related to the temperature change.,0
"The next year, he was expelled from Rand as a security risk after local police caught him engaging in a lewd act in a public men's room near Muscle Beach.",They expelled him from Rand because he commited a crime,0
"Part 2), Confidentiality of Alcohol and Drug Abuse Patient Records.",Drug and alcohol rehab records are to be kept confidential,0
"Not quite as large is the Papal Crose commemorating Pope John Paul II's visit in 1979, when more than one million people gathered to celebrate mass.",More than a million people gathered to celebrate mass when Pope John Paul II visited in 1979.,0
well they're so close to an undefeated undefeated season they can taste it and they wanna make history so i don't think they're gonna lack for motivation,"They're close to winning the season, so they won't have any issues with motivation.",0
The information provided in this guide is current as of the date of this publication.,The information in the guide is up-to-date.,0
someone else noticed it and i said well i guess that's true and it was somewhat melodio us in other words it wasn't just you know it was really funny,Someone else paid attention to it and it was really funny.,0
"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they all lived as long as the rest of them.,0
Chatterbox queried Trudeau about the Dallas Morning News quote.,Trudeau was queried by Chatterbox about his quote.,0
Puppet Shows.,Productions using puppets,0
"It is housed in a Martello A series of such towers, some 12 m (40 ft) high and 2.5 m (8 ft) thick, were constructed along the coast at the beginning of the 19th century to guard against invasion by Napoleon.","A number of these towers, which were built to guard against invasion by Napoleon, were built along the coast in the 19th century.",0
Daniel took it upon himself to explain a few things.,Daniel explained what was happening.,0
"Even if you're the kind of traveler who likes to improvise and be adventurous, don't turn your nose up at the tourist offices.",Tourist officers are a good place to visit even if you're an adventurous tourist.,0
He walked out into the street and I followed.,I followed him as he walked.,0
Complacency came easily after a couple of weeks without capture.,We got complacent after not getting captured for weeks.,0
The entire city was surrounded by open countryside with a scattering of small villages.,The whole countryside is scattered with small villages.,0
That's what guarantees that people will keep buying tickets as long as the odds are in their favor.,"People will continually purchase tickets, as long as they have a good chance of winning.",0
"As Jon looked at him, Barnam puffed out his chest.",Barnam puffed out his chest when Jon looked at him.,0
"Possibly, but strychnine is a fairly rapid drug in its action.",Strychnine is a drug that works very quickly.,0
Castlerigg near Keswick is the best example.,"The best example would be Castlerigg, which is near Keswick.",0
The idea that Clinton's approval represents something new and immoral in the country is historically shortsighted.,It's shortsighted to think that Clinton's approval rating is a sign of the nation's immorality.,0
and uh my daughter gets irate when i when i do that because you know she's a teenager,My daughter's a teenager and so she gets mad whenever I do that.,0
"That's it. The girl looked at him, then passed her hand across her forehead.",The girl touched her forehead.,0
"Regulators may not be totally supportive of a more comprehensive business model because they are concerned that the information would be based on a lot of judgment and, therefore, lack of precision, which could make enforcement of reporting standards difficult.",Being totally supportive of a more comprehensive business model is not something regulators may do.,0
"As a result of the comments received, AMS changed the proposed rule and it was republished for comment in March 2000.",The proposed rule was changed after AMS saw the comments.,0
Each one planting itself in the sides of Stark's neck.,Stark's neck was hit twice.,0
We always knew it was an outside chance.,We were never assured of it happening in time and we knew this full well.,0
there and they uh they in fact they had this was in uh the late twenties and they in fact used some of the equipment that had been left over and uh he turned them down it it's interesting that that most people don't realize how small the canal is have you ever been there,The canal is smaller than people expect it to be,0
i also use my PC to emulate a mainframe terminal for our IBM mainframe and also to emulate a deck terminal for our deck machine,My PC is used as an emulator for a mainframe terminal.,0
"Because GAO's primary function is to support the Congress in carrying out its decision-making and oversight responsibilities, the number of times our experts testify before congressional panels each year is an indicator of our responsiveness and reflects the impact, importance, and value of our work.",Their main focus to to support Congress.,0
"Their rulers introduced Buddhist and Hindu culture, Brahmin ministers to govern, and an elaborate court ritual.",Buddhist and Hindu culture and elaborate court rituals were instituted by the rulers.,0
Leather Wares,The wares are made of leather.,0
i'm not sure what the overnight low was,I don't know how cold it got last night.,0
"On Samothrakia you can climb to the summit of Mount Fengari, where the God Poseidon watched the Trojan War reach its tragic climax.",Poseidon was at the summit of Mount Fengari with a view of the climax of the Trojan War.,0
These traditional low-drafted craft ply effortlessly and quietly through the water guided by their experienced pilots.,Experienced pilots pilot these low-drafted craft.,0
He said the Web site will help bridge the digital divide that keeps the poor from using the Internet as a resource.,This website looks to remove an obstacle that poor people face regarding the internet.,0
NHTSA noted that the only other possible interpretation of section 330 was to treat the phrase standards promulgated . . . prior to the enactment of this section as,"The only other possible interpretation of section 330 was to treat the phrase standards promulgated, as noted by NHTSA.",0
"To assist programs with implementing these web sites, the Northwest Justice Project and ProBonoNet in New York are hiring two full-time circuit riders to assist grantees with content management and to ensure that each web site supports the entire state justice community.",The Northwest Justice Project and ProBonoNet in New York will hire more people.,0
were sort of a double sign with a a big miles per hour and a little kilometers per hour type uh marking on the side,A sign displaying both mph and kph.,0
"This number represents the most reliable, albeit conservative, estimate of cases closed in 1999 by LSC grantees.",This is an actual verified number of closed cases.,0
"To help identify solutions to this problem, Senators Fred Thompson and John Glenn, Chairman and Ranking Minority Member, respectively, of the Senate Committee on Governmental Affairs, requested that we study organizations with superior security programs to identify management practices that could benefit federal agencies.",Senators Fred Thompson requested the study to benefit federal agencies.,0
And now they here put him in a coma.',They have put him in a coma now.,0
"3) Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",Would you rise up and reject any rules that come up,0
and uh i know what nothing is when i moved out there,I discovered what nothing was when I moved out there.,0
"Well, we will come in and interview the brave Dorcas."" Dorcas was standing in the boudoir, her hands folded in front of her, and her grey hair rose in stiff waves under her white cap.",Dorcas will be asked questions and is brave with Grey hair.,0
"Attractively colorful ukiyo-e woodblock prints and scroll paintings can be found in antique stores, second-hand bookstores, and even temple markets.",Colorful woodblock prints and scroll paintings can be found in a variety of stores and markets.,0
A muckraking cover story investigates how the Pentagon disposes of surplus weapons (the short badly).,"An investigative journalism cover story, investigated how the Pentagon disposes of surplus weapons.",0
"The movie doesn't come to much, though.",This movie did not exceed my expectations.,0
"Dinosaurs poked around the remains; twitchy little scavengers, fighting over scraps.",Dinosaurs fought over the scraps.,0
"For example, the first number in Column (10) shows that in FY 1997, the volume of mail sent by households to other households represented 6.6 percent of total First-Class volume.",Mail sent between households make up 6.6 percent of the total First-Class volume.,0
The baker was not jolly.,The baker wasn't happy.,0
"Cruises are available from the Bhansi Ghat, which is near the CityPalace.",You can take a cruise from Bhansi Ghat.,0
well and i i noticed since we moved down here to Texas my husband is originally from Texas but uh i'm not and that you don't have to have uh such a wide variety of seasonal clothes that you do up north where you have to,"My husband is originally from Texas, and is used to not having a wide variety of seasonal clothes.",0
"You claimed to be a repairman for such devices."" Hanson bent to study it again, using a diamond lens one of the warlocks handed him.","Hanson leaned in to examine it again, through a diamond lens.",0
"By seeding packs with a few high-value cards, the manufacturer is encouraging kids to buy Pokemon cards like lottery tickets.","The manufacturer has devised a clever way of getting kids to keep buying card packs even when they have piles of them by only having a few, random rare cards per pack.",0
"David Cope, a professor of music at the University of California at Santa Cruz, claims to have created a 42 nd Mozart symphony.",Music Professor David Cope says he has created Mozart's 42nd symphony.,0
There would be little benefit to national saving from allowing early access to mandatory accounts with set contribution levels-which has been proposed for Social Security (see Q4.,There would be little benefit to national saving,0
Black professionals braid their hair to display their ethnic pride.,Blacks proudly braid their hair.,0
"Disney CEO Eisner, who's actually underrated as a pop-culture maven (he was responsible for Happy Days and Welcome Back, Kotter ), insists that ABC's downturn is cyclical and that it will soon return to life.",Disney's CEO thinks ABC's downturn is cyclical.,0
"The interior of the palace is very dark, and the use of flash is forbidden, so photographers should think twice before paying the extra fee for bringing in a camera or video equipment.","Think hard about whether or not you want to bring a camera, there is an extra fee and no flash allowed.",0
"But you have to have money to save it, and not many couples with young children have the luxury of tucking away $2,000 apiece annually for their Golden Years.",Not many couples with kids can save up for retirement.,0
Where are you going?,I'm curious as to where you're going.,0
"But if Clinton consents, censure and community service can proceed.",The community service will proceed if Clinton allows it.,0
"As for the divisive issue of whether the Mass is a sacrifice for the remission of sins, the statement affirms that Christ's death upon the cross ...",The matter of whether or not the Mass is a sacrifice for the remission of sins is controversial.,0
oh i've never itemized yet,I've never itemized before.,0
"Just as in ancient times, without the River Nile, Egypt could not exist.","Without the Nile river, Egypt could not exist.",0
"Mr. Clinton rewards Mr. Knight for his fund raising, Mr. Gore lays the groundwork for his anticipated presidential bid four years from now, and the companies, by hiring Mr. Knight, get the administration's ear.",Mr. Clinton appreciated Mr. Knight for his fund raising.,0
i don't know um-hum,I am not certain.,0
"It features over 50 outlets for discounted designer fashions, from Armani to DKNY.",It has over 50 discount stores for designer fashion brands.,0
"Clearly, yes.","Obviously, the answer is yes.",0
"If you still want to join, it might be worked.",You can try to do it if you'd like to join.,0
"That first glimpse of the towering, steepled abbey rising from the sea on its rock is a moment you will not forget.",The sight of the abbey atop a rock in the sea is a stunning view.,0
"A succession of discoveries has taught us about archeabacteria, very ancient and primitive single-cell organisms that live in the places you'd least expect anything to call home.","Several discoveries have taught us about archaebacteria, a very ancient and primitive single-cell organism that lives in unexpected places.",0
"The Varanasi Hindu University has an Art Museum with a superb collection of 16th-century Mughal miniatures, considered superior to the national collection in Delhi.",The Varanasi Hindu University has an art museum on its campus which may be superior objectively to the national collection in Delhi.,0
Sir James's presence in Manchester was not accidental.,Sir James was present in Manchester on purpose.,0
Possibly no other country has had such a turbulent history.,The country's history has been turbulent.,0
"Bars with views and live music include Sky Lounge in the Sheraton Hotel and Towers, Tsim Sha Tsui; and Cyrano in the Island Shangri-La in Pacific Place.","Many venues feature stunning views and live music, including the Sky Lounge, Tsim Sha Tsui, and the Cyrano.",0
"But in all probability the girl will have entirely forgotten the intervening period, and will take up life where she left off at the sinking of the Lusitania.""",The girl will have most likely forgotten that period.,0
She would be almost certainly sent to you under an assumed one.,The person told the other person that she would be sent to them.,0
Lydians and Persians,Persians and Lydians,0
yeah yeah so it's interesting to talk to somebody from that general vicinity,Conversing to someone in the area is interesting.,0
"They are built on the site of David's Tower, once the largest and most formidable structure in the castle.",The structures are on the site of David's Tower.,0
"Using a threestep development planning process, managers assess their current capabilities, determine their specific development needs, and build and execute a development plan.",Managers asssess their current capabilites by using a threestep development planning process.,0
The importer pays duties that are required by law,Imported goods have duties,0
Impossible.,Cannot be done.,0
"As a professional courtesy, GAO will inform requesters of substantive media inquiries during an ongoing assignment.","During an ongoing assignment, GAO will inform requesters of substantive media inquiries.",0
"The regime's response of ferocious repression plus numerous other ineptitudes led to a third revolution in 1848, with the Bonapartists, led by Napoleon's nephew, emerging triumphant.",France was ruled by Napoleon's nephew after they won a revolution in 1848.,0
"In the 1980s, a pragmatic socialist coalition government with the Christian Democrats brought a few years of unusual stability.",The environment was stable in the 1980s.,0
"They found plenty of water pouring down from the mountains, and more timber than anyone knew what to do with.",They had found a lot of water pouring down from the mountains.,0
"It was like looking into a mirror, except infinitely more realistic.",It was more realistic than looking in a mirror.,0
"The rain had stopped, but the green glow painted everything around them.",The green glow painted everything around them after the rain had stopped.,0
yeah that's that's a big step yeah,"Yes, that is a huge step.",0
He bent down to study the tiny little jeweled gears.,He bent down to examine the decorated gears.,0
um-hum yeah that's very true you know how many is it they say we have so many lawyers in this country and i guess i i live near Washington being in in Baltimore it's something like one in four people in the Washington,There are a lot of lawyers in this country.,0
Strategic human capital management must be at the center of this transformation effort.,Human capital management is extremely important,0
Do you think I should be concerned?,Do you believe I should be worried?,0
i tell you what i would not i would not buy a car that had the seat belt where it was hooked under the door,I don't want a car with the seat belt under the door.,0
"will never be doused (Brit Hume, Fox News Sunday ; Tony Blankley, Late Edition ; Robert Novak, Capital Gang ; Tucker Carlson, The McLaughlin Group ). The middle way is best expressed by Howard Kurtz (NBC's Meet the Press )--he scolds Brill for undisclosed campaign contributions and for overstretching his legal case against Kenneth Starr but applauds him for casting light on the media.",The man was criticized for not fully disclosing contributions to the campaign.,0
"As he stepped across the threshold, Tommy brought the picture down with terrific force on his head.",Tommy stepped across a threshold and put a picture down on his head.,0
"Until the late '60s, the Senate was deferential to the (many fewer) presidential nominees.",The Senate was respectful of the presidential nominees.,0
"The tents had been burned, but there was a new building where the main tent had been.",There was a building were the tents once were.,0
"Most of France went enthusiastically into World War I, and came out of it victorious yet bled white.",Most of France supported WWI.,0
"Steps are initiated to allow program board membership to reflect the clienteligible community and include representatives from the funding community, corporations and other partners.",The board includes those from the funding community and corporations.,0
football and baseball and,Both football and baseball.,0
"Perched on a steep slope, high in the Galilean hills, Safed (known also as Tzfat, Tsfat, Sefat, and Zefat) is a delightful village-town of some 22,000 people.",Safed is a village that goes by numerous other names.,0
"1 Lower and upper PMSD bounds were determined from the 10th and 90th percentile, respectively, of PMSD data from EPA's WET Interlaboratory Variability Study (USEPA, 2001a; USEPA, 2001b).",The EPA's WET Interlaboratory Variability Study served as the reference for the upper and lower PMSD numbers.,0
you know and he he was talking about that he was talking about nobody went broke over paying thirty percent,"He said that while paying more than 30 percent, it's not like anyone has ever gone broke.",0
Nowadays it is bordered by ancient columns and lined with expensive shops.,Now it is surrounded by old pillars and pricey stores.,0
so we've been out here well really in the house since December and we've been uh planting flowers that we could never plant in San Antonio uh,We've planted flowers that were impossible to plant when we were in San Antonio.,0
it's just it's the morals of the people which i mean i guess we everybody's responsible for the society but if i had a child that that did things so bad it's not they don't care about anybody these people they're stealing from they're just the big bad rich guy,"If my kid stole from others, it would be because he thinks they are too rich.",0
did you well it's not just that are there enough jobs for people here now,it's not only that people can find jobs here more easily now,0
"Vaikuntaperumal is a Vishnu temple of the same period, famous for its elevated colonnade of lively sculpted reliefs showing the many exploits of the Pallava kings.",The sculpture reliefs in the Vishnu temple depict stories about the Pallava kings.,0
But there's plenty more.,There is a lot more.,0
This was the saturation and 125-piece walk sequence Enhanced Carrier Route mail volume in 1996.,The Enhanced Carrier Route was introduced prior to 1997.,0
"Other villages are much less developed, and therein lies the essence of many delights.",The other villages and settlements are not as developed.,0
yeah and then about every five years you have to dig them up and throw them away and start over again they don't last forever,"You have to dig them up every five years, throw them away and then start all over again.",0
and not only that it it opens you to phone solicitations,It also opens the door to move marketing calls.,0
Who? asked Tommy.,Tommy inquired about the identity of the person.,0
The campaigns seem to reach a new pool of contributors.,New people chose to donate to the cause,0
i know that i didn't much uh-huh oh,I didn't much.,0
yeah uh yeah absolutely and the credit union has nine percent interest so yeah so that's,Yes and there's nine percent interest for the credit union.,0
"The South African priest who invited Clinton to do so is quoted in the paper as saying that once Clinton stood up, he was thinking about how much embarrassment it would have caused him by my saying, please sit down.",A South African priest once invited Clinton to do so in quoted paper.,0
This doesn't look good.,This looks really bad.,0
"There is an exhibition of highland dress, showing how it developed through the centuries.",They show different types of highland dress.,0
Diets for men in their prime,Healthy eating choices for optimally aged men.,0
"But of course, that's just another way of saying that liberal democracy--a value Huntington surely ranks above the alternatives morally--may never fit some peoples as naturally as it fits us.",Liberal democracy may not fit some people as good as it fits us.,0
yeah it's definitely a way out of the way where where as,Yes. There is definitely a way out.,0
"However unsatisfactory and over-argued the revisionist case, it did make one serious that the United States had clear national and economic interests and found the Cold War an unusually congenial way to pursue them.","During the Cold War, the United States acted in accordance with its national interests.",0
"EPA estimates that 5.6 million acres of lakes, estuaries and wetlands and 43,500 miles of streams, rivers and coasts are impaired by mercury emissions.","The release of mercury has an impact on rivers, streams and lakes",0
She gets a little obsessive about her sauce.,She becomes overly focused about her sauce.,0
Small towns like Louisian lay scattered all over the Oil Fields; the main train line branched between them.,There were a lot of small towns in the oil fields.,0
"The elements of this example, repeated across millions of individual tasks, encapsulates the difference between an advanced industrial economy with a high standard of living and a less developed country with a low standard of living.",This example is about standards of living and economies.,0
My article does not say or imply that real earnings growth only reflects retentions and that dividend growth must be zero or that all valuation techniques are out the window for firms that don't pay dividends.,My article doesn't say or imply that real earnings growth reflects only retentions and that dividend growth must be zero or that valuation techniques are unused for firms which don't pay dividends.,0
"Since the rules were issued as interim rules and not as general notices of proposed rulemaking, they are not subject to the Unfunded Mandates Reform Act of 1995.",The rules were issued as interim rules and not general notices of proposed rulemaking.,0
you know it took away a lot of of time from them we did go out to you know to the places that you typically take children to and we had a lot of fun but it seems as though the time went by so fast that,Time went by too fast while we were having fun with the kids.,0
right right they left a woman and a child or the cat the sheep yeah,"They let a woman and child remain, or it might have been the cat or sheep.",0
"In a six-year study, scientists fed dogs and other animals irradiated chicken and found no evidence of increased cancer or other toxic effects.",Scientists gave animals irradiated chicken and they were fine.,0
I'm busy now.,I'm not free right now.,0
"Sixty percent of Americans are frustrated and angry with the health-care system, and 70 percent favor federal intervention.",Most Americans want to see major changes in the health-care system.,0
sort of a building season season yeah,Kind of a building period.,0
The Edinburgh International Festival (held annually since 1947) is acknowledged as one of the world's most important arts festivals.,The Edinburgh International Festival has been held annually since 1947.,0
"The remaining parts of the north, although enticing, are difficult to explore.",The rest of the north presents a steep challenge.,0
"H-2A aliens, as the only category of eligible aliens who reside in the United States temporarily, are particularly affected by the issue before the Commission because of their necessarily short periods of time in the United States.",H-2A aliens have short periods of time in the United States.,0
"The arches that flank the nave are filled with tiers of columns and the walls with windows, while the arches above the entrance and the apse are backed by semi-domes, further increasing the interior space.",The arches that flank the nave are different from the arches above the entrance.,0
Exhibitions are often held in the splendid entrance hall.,The entrance hall is often used to host exhibitions.,0
"Favored by the Ancient Egyptians as a source of turquoise, the Sinai was, until recently, famed for only one event but certainly an important one.",The Sinai was a source of turquoise for Ancient Egyptians.,0
um well i hate to yes i do,I hate to.,0
i have been and uh some of the boy scouts have been up in there they have got some great hiking trails and camping areas up in there,The boy scouts go where there are good hiking trails and camping areas.,0
well uh what do you think about taxes do you think we're paying too much,Do you think our taxes are too high?,0
"The most important directions are simply up and up leads eventually to the cathedral and fortress commanding the hilltop, and down inevitably leads to one of three gates through the wall to the new town.",The cathedral and fortress are located higher while the gates are below.,0
"Over most of the 1980s and 1990s, the U.S. was able to invest more than it saved by attracting financing from abroad.",The US could invest more than it saved in the 1980's and 90's.,0
"From the inventories of the initiatives they developed in response to our request, we asked agency officials to identify those agency components and initiatives that, in their view, had successfully involved and empowered employees.",Agency officials need to identify the components that helped their employees improve their performances.,0
paid back down it uh,The balance was reduced through payment.,0
5 are highly correlated during summer months in some areas.,Five are correlated during the summer in certain areas.,0
"Anyway, thank you very much for trying to help us.",Thanks for all your help.,0
oh you went to the dollar movie yeah yeah they show up at the dollar movie right after they get come out you know they're usually not not that great or didn't do that great anyway let me see let me see another movie i watched uh i want to see is uh that new one uh,they are shown at the dollar movie theater immediately after they're released,0
"I understand, mademoiselle, I understand all you feel.","I am aware, madam, of how you feel.",0
"Never trust a Sather, Bork said softly.",Borker said to never trust a Sather.,0
Allow time in Thirasia to explore Santorini's smaller sibling islands.,Santorini has smaller sibling islands that are worth exploring.,0
The leaves of the papyrus were dried and used by Ancient Egyptians as a form of paper.,Ancient Egyptians use papyrus leaves for paper.,0
"In his effort to build nationalism across Turkey in the 1920s, Ataterk instituted a campaign to suppress Kurdish identity that continues today.",His campaign to suppress the identity of the Kurds was successful.,0
um-hum yeah i saw that for the first time yesterday in the evening,Yesterday was the first time I had ever seen that.,0
"You can alternate lazy days on the beach with some of the Medi?­ter?­ra?­nean's best deep-sea diving, boat excursions around pirate coves, canoeing and fishing on inland rivers, or hikes and picnics in the mountains.","Outdoor activities range from beach-going, deep-sea diving, boat excursions, canoeing, and fishing, to hikes and picnics out in the wilderness.",0
"For fiscal year 1996, Congress determined that the Commission should recover $126,400,000 in costs, an amount 8.6 percent higher than required in fiscal year 1995.","Congress determined that Commission should recover over $126 million in costs, which is 8.6 percent higher than the year before.",0
Ca'daan heard the Kal grunt and felt the horse lift.,The Kal's grunt was heard by Ca'daan.,0
This call to play fortuneteller is not easily refused.,It's not easily refused the call to play fortuneteller.,0
"You wonder what youre going to be when you grow up, lawyer Smith said.","The lawyer, Smith, pointed out that you wanted to know what you would be when you grew up.",0
"The Times says this tracking list is drawn up from information from bookstores, but publishers say they routinely call up the Times to tip them off to books selling with increasing momentum so that they can be added to the tracking list.","Publishers say one things about Times' drawing of lists from bookstores, while Times claims a different story.",0
